Amine,Tail,Lipid_name,Num tails,MolWt,Value_name,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight
Zhou_dendrimer_5A3,Zhou_dendrimer_SC1,Zhou_dendrimer_5A3-SC1,5,1560.229,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC1,Zhou_dendrimer_5A4-SC1,5,1518.148,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC1,Zhou_dendrimer_6A1-SC1,6,1835.599,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1H2,Zhou_dendrimer_SC1,Zhou_dendrimer_1H2-SC1,1,515.845,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1H3,Zhou_dendrimer_SC1,Zhou_dendrimer_1H3-SC1,1,571.953,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H1,Zhou_dendrimer_SC1,Zhou_dendrimer_2H1-SC1,2,678.011,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H2,Zhou_dendrimer_SC1,Zhou_dendrimer_2H2-SC1,2,706.065,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A2,Zhou_dendrimer_SC2,Zhou_dendrimer_1A2-SC2,1,445.67,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A3,Zhou_dendrimer_SC2,Zhou_dendrimer_1A3-SC2,1,418.6,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A4,Zhou_dendrimer_SC2,Zhou_dendrimer_1A4-SC2,1,390.59,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A5,Zhou_dendrimer_SC2,Zhou_dendrimer_1A5-SC2,1,404.617,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A2,Zhou_dendrimer_SC2,Zhou_dendrimer_2A2-SC2,2,734.079,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A3,Zhou_dendrimer_SC2,Zhou_dendrimer_2A3-SC2,2,705.037,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A4,Zhou_dendrimer_SC2,Zhou_dendrimer_2A4-SC2,2,698.989,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A5,Zhou_dendrimer_SC2,Zhou_dendrimer_2A5-SC2,2,691.01,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A2,Zhou_dendrimer_SC2,Zhou_dendrimer_3A2-SC2,3,993.446,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC2,Zhou_dendrimer_3A3-SC2,3,1024.504,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A4,Zhou_dendrimer_SC2,Zhou_dendrimer_3A4-SC2,3,983.407,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SC2,Zhou_dendrimer_3A5-SC2,3,1053.546,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A4,Zhou_dendrimer_SC2,Zhou_dendrimer_4A4-SC2,4,1301.842,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A3,Zhou_dendrimer_SC2,Zhou_dendrimer_5A3-SC2,5,1630.364,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A4,Zhou_dendrimer_SC2,Zhou_dendrimer_5A4-SC2,5,1588.283,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_6A1,Zhou_dendrimer_SC2,Zhou_dendrimer_6A1-SC2,6,1919.761,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1H1,Zhou_dendrimer_SC2,Zhou_dendrimer_1H1-SC2,1,487.791,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H1,Zhou_dendrimer_SC2,Zhou_dendrimer_2H1-SC2,2,706.065,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H2,Zhou_dendrimer_SC2,Zhou_dendrimer_2H2-SC2,2,734.119,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H3,Zhou_dendrimer_SC2,Zhou_dendrimer_2H3-SC2,2,762.173,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2H6,Zhou_dendrimer_SC2,Zhou_dendrimer_2H6-SC2,2,846.335,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A1,Zhou_dendrimer_SC3,Zhou_dendrimer_1A1-SC3,1,388.574,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A2,Zhou_dendrimer_SC3,Zhou_dendrimer_1A2-SC3,1,445.67,FFL silencing,HeLa,FFL,hela,in_vitro,1
