Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Amine,Tail,Delivery_target,Route_of_administration,Purity,Target_or_delivered_gene,Experiment_weight,Value_name
146,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)cc1,Nc1ccc(N)cc1,14,4,KW_A146,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
364,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(OC(F)(F)F)cc1,Nc1ccc(OC(F)(F)F)cc1,14,2,KW_A364,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
363,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(OC(F)F)cc1,Nc1ccc(OC(F)F)cc1,14,2,KW_A363,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
362,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(OC)c(F)c1,COc1ccc(N)cc1F,14,2,KW_A362,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
388,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(Oc2ccc(F)cc2)cc1,Nc1ccc(Oc2ccc(F)cc2)cc1,14,2,KW_A388,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
389,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(Oc2ccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,14,4,KW_A389,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
387,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(Oc2ccccc2)cc1,Nc1ccc(Oc2ccccc2)cc1,14,2,KW_A387,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
333,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc(OCCCCCCCC)cc1,CCCCCCCCOc1ccc(N)cc1,14,2,KW_A333,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
308,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCC1,NC1CCC1,14,2,KW_A308,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
373,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2c(c1)Cc1cc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)ccc1-2,Nc1ccc2c(c1)Cc1cc(N)ccc1-2,14,4,KW_A373,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
372,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2c(c1)CCCC2,Nc1ccc2c(c1)CCCC2,14,2,KW_A372,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
371,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,14,2,KW_A371,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
370,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2c(c1)OCO2,Nc1ccc2c(c1)OCO2,14,2,KW_A370,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
374,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2cc3ccccc3cc2c1,Nc1ccc2cc3ccccc3cc2c1,14,2,KW_A374,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
367,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCc2ccccc21,NC1CCc2ccccc21,14,2,KW_A367,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
396,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2ccccc2c1-c1c(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)ccc2ccccc12,Nc1ccc2ccccc2c1-c1c(N)ccc2ccccc12,14,4,KW_A396,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
376,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(-c2ccccc2)c1,Nc1cccc(-c2ccccc2)c1,14,2,KW_A376,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
359,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(C(F)(F)F)c1,Nc1cccc(C(F)(F)F)c1,14,2,KW_A359,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
147,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(C)c1N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,Cc1cccc(N)c1N,14,4,KW_A147,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
348,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(F)c1,Nc1cccc(F)c1,14,2,KW_A348,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
127,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCCC(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)C1,NC1CCCC(N)C1,14,4,KW_A127,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
145,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)c1,Nc1cccc(N)c1,14,4,KW_A145,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
149,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1cccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)c1C,Cc1c(N)cccc1N,14,4,KW_A149,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
