Lipid_name,Amine,Tail,Delivery_target,Route_of_administration,Purity,Batch_or_individual,Experiment_weight,Mix_type
A57-T3 ,RM_carbonate_A57,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A38-T6 ,RM_carbonate_A38,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T7 ,RM_carbonate_A16,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T9 ,RM_carbonate_A15,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T3 ,RM_carbonate_A63,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T5 ,RM_carbonate_A34,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A26-T6 ,RM_carbonate_A26,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T1 ,RM_carbonate_A19,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A57-T10 ,RM_carbonate_A57,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A45-T7 ,RM_carbonate_A45,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A32-T8 ,RM_carbonate_A32,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A39-T2 ,RM_carbonate_A39,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A71-T7 ,RM_carbonate_A71,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T6 ,RM_carbonate_A16,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T6 ,RM_carbonate_A5,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A44-T10 ,RM_carbonate_A44,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T8 ,RM_carbonate_A21,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A49-T4 ,RM_carbonate_A49,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T6 ,RM_carbonate_A19,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T7 ,RM_carbonate_A15,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A44-T6 ,RM_carbonate_A44,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A51-T2 ,RM_carbonate_A51,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T8 ,RM_carbonate_A31,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A23-T6 ,RM_carbonate_A23,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T10 ,RM_carbonate_A21,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A35-T2 ,RM_carbonate_A35,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
